PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,878,0,0,0,115,230,0,51,0,178,0,0,0,29,62,0,11,0,185,0,0,0,31,65,0,9,0,0,0,0,0,1,3,0,1
11gs,0,885,97,0,0,117,346,0,52,0,196,23,0,0,27,85,0,10,0,193,19,0,0,32,85,0,11,0,0,0,0,0,1,3,0,1
13gs,0,617,0,0,0,142,174,0,36,0,144,0,0,0,27,49,0,9,0,137,0,0,0,30,47,0,8,0,1,0,0,0,0,2,0,0
16pk,0,550,0,91,0,270,405,95,0,0,180,0,43,0,72,150,37,0,0,189,0,34,0,83,135,36,0,0,2,0,0,0,2,2,0,0
184l,0,688,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
185l,0,574,0,0,0,78,0,0,0,0,97,0,0,0,10,0,0,0,0,114,0,0,0,13,0,0,0,0,8,0,0,0,2,0,0,0
186l,0,715,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
187l,0,591,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
188l,0,572,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1a07,0,514,0,0,0,55,100,0,0,0,173,0,0,0,17,31,0,0,0,144,0,0,0,12,26,0,0,0,12,0,0,0,1,3,0,0
1a08,0,573,0,99,0,54,229,42,0,0,200,0,43,0,17,81,17,0,0,162,0,31,0,12,68,16,0,0,13,0,2,0,1,6,1,0
1a0q,0,768,0,0,0,31,236,46,0,0,194,0,0,0,9,62,12,0,0,141,0,0,0,9,47,10,0,0,0,0,0,0,0,0,0,0
1a1b,0,555,0,0,0,53,278,45,0,0,190,0,0,0,18,105,19,0,0,155,0,0,0,11,86,20,0,0,12,0,0,0,2,7,1,0
1a1c,0,611,0,0,0,51,277,44,0,0,212,0,0,0,18,106,18,0,0,165,0,0,0,9,85,17,0,0,12,0,0,0,2,7,1,0
1a1e,0,580,0,0,0,52,279,44,0,0,201,0,0,0,16,101,17,0,0,159,0,0,0,12,85,20,0,0,11,0,0,0,2,6,1,0
1a28,0,1235,0,0,0,0,120,0,0,0,221,0,0,0,0,24,0,0,0,228,0,0,0,0,27,0,0,0,84,0,0,0,0,5,0,0
1a30,0,651,0,0,0,116,337,0,0,0,163,0,0,0,31,84,0,0,0,198,0,0,0,38,109,0,0,0,0,0,0,0,0,0,0,0
1a3e,0,963,0,0,0,123,246,0,0,0,249,0,0,0,29,67,0,0,0,222,0,0,0,26,64,0,0,0,18,0,0,0,2,2,0,0
1a42,0,489,0,0,0,139,242,0,155,0,125,0,0,0,41,59,0,41,0,87,0,0,0,32,52,0,31,0,3,0,0,0,0,0,0,0
1a4h,0,912,0,0,0,94,311,0,0,0,229,0,0,0,27,80,0,0,0,306,0,0,0,35,99,0,0,0,20,0,0,0,1,5,0,0
1a4k,0,910,0,0,0,122,198,0,0,0,281,0,0,0,39,66,0,0,0,224,0,0,0,31,45,0,0,0,0,0,0,0,0,0,0,0
1a4r,0,380,0,0,0,266,383,77,0,0,97,0,0,0,66,107,22,0,0,105,0,0,0,88,117,27,0,0,11,0,0,0,5,12,2,0
1a4w,0,1082,0,0,0,324,129,0,43,0,237,0,0,0,85,35,0,12,0,261,0,0,0,96,35,0,14,0,20,0,0,0,9,5,0,2
1a50,0,716,0,61,0,57,258,61,0,0,111,0,9,0,11,73,19,0,0,167,0,14,0,18,86,21,0,0,0,0,0,0,0,0,0,0
1a52,0,1040,0,0,0,0,109,0,0,0,176,0,0,0,0,28,0,0,0,193,0,0,0,0,26,0,0,0,40,0,0,0,0,3,0,0
1a5h,0,991,0,0,0,218,46,0,0,0,281,0,0,0,59,14,0,0,0,298,0,0,0,68,13,0,0,0,29,0,0,0,6,1,0,0
1a69,0,493,0,0,0,198,250,0,0,0,181,0,0,0,63,93,0,0,0,154,0,0,0,62,72,0,0,0,25,0,0,0,11,13,0,0
