PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,5734,0,0,0,846,1661,0,305,0,1542,0,0,0,236,440,0,80,0,1571,0,0,0,238,466,0,77,0,72,0,0,0,13,24,0,3
11gs,0,6130,513,0,0,870,2475,0,316,0,1651,139,0,0,237,649,0,82,0,1669,138,0,0,249,675,0,83,0,77,5,0,0,13,31,0,3
13gs,0,3980,0,0,0,819,1212,0,185,0,1041,0,0,0,217,315,0,49,0,1030,0,0,0,218,323,0,45,0,42,0,0,0,8,15,0,2
16pk,0,3936,0,950,0,1540,2987,746,0,0,1075,0,300,0,383,829,216,0,0,1141,0,294,0,422,897,230,0,0,57,0,7,0,30,35,7,0
184l,0,3305,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
185l,0,2632,0,0,0,370,0,0,0,0,706,0,0,0,99,0,0,0,0,708,0,0,0,103,0,0,0,0,30,0,0,0,4,0,0,0
186l,0,3301,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
187l,0,2681,0,0,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
188l,0,2684,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
1a07,0,3873,0,0,0,447,744,0,0,0,1098,0,0,0,130,227,0,0,0,1076,0,0,0,124,213,0,0,0,51,0,0,0,6,10,0,0
1a08,0,4052,0,411,0,441,1292,184,0,0,1121,0,100,0,128,368,53,0,0,1120,0,105,0,121,369,51,0,0,50,0,2,0,6,14,1,0
1a0q,0,4713,0,0,0,285,1633,321,0,0,1139,0,0,0,72,407,80,0,0,1058,0,0,0,65,373,70,0,0,36,0,0,0,0,8,3,0
1a1b,0,3955,0,0,0,460,1498,183,0,0,1121,0,0,0,133,429,50,0,0,1118,0,0,0,132,443,53,0,0,51,0,0,0,6,15,1,0
1a1c,0,4115,0,0,0,444,1508,182,0,0,1155,0,0,0,129,429,50,0,0,1149,0,0,0,129,433,53,0,0,48,0,0,0,6,15,1,0
1a1e,0,4037,0,0,0,455,1501,184,0,0,1130,0,0,0,131,435,51,0,0,1117,0,0,0,129,432,53,0,0,49,0,0,0,6,14,1,0
1a28,0,8254,0,0,0,0,747,0,0,0,1929,0,0,0,0,166,0,0,0,2069,0,0,0,0,166,0,0,0,151,0,0,0,0,14,0,0
1a30,0,4206,0,0,0,816,2259,0,0,0,1084,0,0,0,225,594,0,0,0,1232,0,0,0,240,653,0,0,0,10,0,0,0,2,8,0,0
1a3e,0,7367,0,0,0,1224,2273,0,0,0,2095,0,0,0,361,648,0,0,0,1988,0,0,0,332,620,0,0,0,83,0,0,0,14,25,0,0
1a42,0,3760,0,0,0,1074,1737,0,1159,0,1005,0,0,0,273,447,0,286,0,935,0,0,0,253,429,0,270,0,20,0,0,0,5,6,0,4
1a4h,0,7979,0,0,0,647,2499,0,0,0,1956,0,0,0,160,616,0,0,0,2317,0,0,0,169,724,0,0,0,42,0,0,0,3,13,0,0
1a4k,0,5494,0,0,0,740,1491,0,0,0,1450,0,0,0,204,424,0,0,0,1387,0,0,0,193,412,0,0,0,43,0,0,0,4,6,0,0
1a4r,0,2310,0,0,0,1447,2414,517,0,0,586,0,0,0,366,583,124,0,0,738,0,0,0,441,728,154,0,0,30,0,0,0,17,29,6,0
1a4w,0,7297,0,0,0,1966,952,0,421,0,1956,0,0,0,525,256,0,116,0,2188,0,0,0,599,294,0,130,0,147,0,0,0,41,20,0,9
1a50,0,4412,0,389,0,397,1324,336,0,0,1075,0,92,0,99,330,78,0,0,1183,0,106,0,109,372,94,0,0,18,0,3,0,2,4,1,0
1a52,0,6426,0,0,0,0,645,0,0,0,1561,0,0,0,0,147,0,0,0,1699,0,0,0,0,164,0,0,0,162,0,0,0,0,16,0,0
1a5h,0,6240,0,0,0,1069,285,0,0,0,1719,0,0,0,296,76,0,0,0,1944,0,0,0,339,90,0,0,0,146,0,0,0,25,7,0,0
1a69,0,3747,0,0,0,1466,1849,0,0,0,1048,0,0,0,412,517,0,0,0,1070,0,0,0,419,542,0,0,0,89,0,0,0,32,47,0,0
1a8i,0,2996,0,0,0,737,2622,0,0,0,898,0,0,0,217,770,0,0,0,943,0,0,0,225,806,0,0,0,23,0,0,0,5,20,0,0
1a8t,0,5557,0,0,0,1609,423,0,0,0,1607,0,0,0,463,120,0,0,0,1711,0,0,0,484,131,0,0,0,68,0,0,0,17,5,0,0
1a94,0,10298,0,0,0,2556,2376,0,0,0,2714,0,0,0,686,629,0,0,0,3034,0,0,0,748,685,0,0,0,26,0,0,0,9,8,0,0
1a99,0,1608,0,0,0,797,0,0,0,0,361,0,0,0,175,0,0,0,0,428,0,0,0,208,0,0,0,0,8,0,0,0,4,0,0,0
1a9m,0,8016,0,0,0,1969,1744,0,0,0,2174,0,0,0,541,481,0,0,0,2285,0,0,0,563,488,0,0,0,16,0,0,0,5,7,0,0
1a9q,0,1774,0,0,0,1435,342,0,0,0,471,0,0,0,383,92,0,0,0,481,0,0,0,386,101,0,0,0,31,0,0,0,23,6,0,0
1aaq,0,7710,0,0,0,1393,1832,0,0,0,2064,0,0,0,370,509,0,0,0,2300,0,0,0,400,538,0,0,0,19,0,0,0,3,6,0,0
1abf,0,2330,0,0,0,0,1915,0,0,0,641,0,0,0,0,526,0,0,0,719,0,0,0,0,589,0,0,0,24,0,0,0,0,20,0,0
1add,0,4301,0,0,0,1582,1592,0,0,0,1104,0,0,0,414,379,0,0,0,1170,0,0,0,444,395,0,0,0,68,0,0,0,23,29,0,0
1adl,0,6101,0,0,0,0,711,0,0,0,1677,0,0,0,0,183,0,0,0,1800,0,0,0,0,195,0,0,0,81,0,0,0,0,6,0,0
