PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,537,0,0,0,71,147,0,32,0,114,0,0,0,21,45,0,6,0,105,0,0,0,20,37,0,4,0,0,0,0,0,0,0,0,0
11gs,0,535,70,0,0,72,210,0,32,0,124,13,0,0,20,56,0,6,0,112,13,0,0,21,52,0,4,0,0,0,0,0,0,0,0,0
13gs,0,392,0,0,0,90,115,0,27,0,81,0,0,0,14,27,0,5,0,71,0,0,0,15,23,0,5,0,0,0,0,0,0,1,0,0
16pk,0,350,0,52,0,184,236,50,0,0,103,0,24,0,48,95,24,0,0,115,0,13,0,57,80,15,0,0,1,0,0,0,1,0,0,0
184l,0,445,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
185l,0,360,0,0,0,44,0,0,0,0,46,0,0,0,5,0,0,0,0,55,0,0,0,4,0,0,0,0,6,0,0,0,1,0,0,0
186l,0,466,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
187l,0,371,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
188l,0,357,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
1a07,0,332,0,0,0,33,62,0,0,0,117,0,0,0,10,21,0,0,0,78,0,0,0,4,15,0,0,0,8,0,0,0,0,1,0,0
1a08,0,368,0,71,0,33,143,30,0,0,130,0,29,0,10,52,14,0,0,83,0,22,0,6,45,9,0,0,9,0,2,0,0,3,1,0
1a0q,0,469,0,0,0,21,136,27,0,0,116,0,0,0,9,38,9,0,0,68,0,0,0,3,26,6,0,0,0,0,0,0,0,0,0,0
1a1b,0,363,0,0,0,34,184,29,0,0,127,0,0,0,10,73,13,0,0,82,0,0,0,6,60,9,0,0,8,0,0,0,0,4,1,0
