PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,6255,0,0,0,942,1838,0,330,0,1689,0,0,0,260,487,0,88,0,1767,0,0,0,268,510,0,86,0,75,0,0,0,13,24,0,3
11gs,0,6757,565,0,0,970,2751,0,345,0,1790,146,0,0,263,724,0,87,0,1859,154,0,0,276,749,0,91,0,83,5,0,0,13,32,0,4
13gs,0,4367,0,0,0,892,1320,0,201,0,1139,0,0,0,239,347,0,50,0,1151,0,0,0,235,355,0,52,0,45,0,0,0,8,16,0,2
16pk,0,4379,0,1057,0,1684,3354,866,0,0,1172,0,320,0,419,924,248,0,0,1232,0,323,0,448,979,252,0,0,60,0,8,0,30,39,7,0
184l,0,3511,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
185l,0,2787,0,0,0,387,0,0,0,0,752,0,0,0,102,0,0,0,0,752,0,0,0,109,0,0,0,0,31,0,0,0,4,0,0,0
186l,0,3526,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
187l,0,2841,0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
188l,0,2847,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
1a07,0,4288,0,0,0,487,846,0,0,0,1211,0,0,0,143,253,0,0,0,1194,0,0,0,137,239,0,0,0,52,0,0,0,6,10,0,0
1a08,0,4472,0,441,0,487,1418,202,0,0,1221,0,108,0,141,399,54,0,0,1242,0,109,0,137,403,54,0,0,53,0,3,0,6,15,1,0
1a0q,0,5148,0,0,0,312,1803,354,0,0,1251,0,0,0,77,441,81,0,0,1160,0,0,0,72,405,79,0,0,40,0,0,0,1,10,3,0
1a1b,0,4390,0,0,0,496,1663,202,0,0,1234,0,0,0,146,464,53,0,0,1237,0,0,0,142,477,55,0,0,52,0,0,0,6,16,1,0
1a1c,0,4536,0,0,0,494,1654,201,0,0,1265,0,0,0,141,467,53,0,0,1278,0,0,0,140,475,54,0,0,49,0,0,0,6,16,1,0
1a1e,0,4472,0,0,0,498,1648,203,0,0,1246,0,0,0,139,467,56,0,0,1234,0,0,0,139,470,55,0,0,50,0,0,0,6,15,1,0
1a28,0,8969,0,0,0,0,795,0,0,0,2123,0,0,0,0,182,0,0,0,2239,0,0,0,0,193,0,0,0,153,0,0,0,0,15,0,0
1a30,0,4573,0,0,0,897,2459,0,0,0,1185,0,0,0,240,631,0,0,0,1334,0,0,0,262,707,0,0,0,11,0,0,0,3,10,0,0
1a3e,0,8061,0,0,0,1348,2522,0,0,0,2282,0,0,0,403,716,0,0,0,2193,0,0,0,372,691,0,0,0,90,0,0,0,15,28,0,0
1a42,0,4178,0,0,0,1188,1944,0,1247,0,1118,0,0,0,308,493,0,315,0,1041,0,0,0,291,465,0,295,0,20,0,0,0,6,8,0,5
1a4h,0,8902,0,0,0,717,2770,0,0,0,2185,0,0,0,173,684,0,0,0,2523,0,0,0,196,799,0,0,0,44,0,0,0,4,13,0,0
