PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,295,0,0,0,35,93,0,13,0,67,0,0,0,15,31,0,3,0,53,0,0,0,13,22,0,3,0,0,0,0,0,0,0,0,0
11gs,0,292,35,0,0,35,128,0,14,0,69,5,0,0,13,34,0,4,0,62,5,0,0,14,30,0,2,0,0,0,0,0,0,0,0,0
13gs,0,239,0,0,0,45,67,0,17,0,36,0,0,0,8,15,0,2,0,41,0,0,0,7,7,0,2,0,0,0,0,0,0,0,0,0
16pk,0,191,0,24,0,111,125,30,0,0,60,0,12,0,28,48,15,0,0,54,0,6,0,26,44,10,0,0,0,0,0,0,0,0,0,0
184l,0,250,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
185l,0,211,0,0,0,21,0,0,0,0,20,0,0,0,2,0,0,0,0,19,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0
186l,0,253,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
187l,0,210,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
188l,0,192,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
1a07,0,190,0,0,0,16,32,0,0,0,61,0,0,0,6,13,0,0,0,38,0,0,0,2,7,0,0,0,4,0,0,0,0,0,0,0
1a08,0,209,0,41,0,17,83,18,0,0,73,0,20,0,6,40,11,0,0,43,0,13,0,2,20,3,0,0,6,0,2,0,0,2,1,0
1a0q,0,284,0,0,0,13,74,15,0,0,63,0,0,0,4,29,9,0,0,32,0,0,0,2,18,4,0,0,0,0,0,0,0,0,0,0
1a1b,0,205,0,0,0,17,112,21,0,0,72,0,0,0,7,49,10,0,0,40,0,0,0,2,30,6,0,0,5,0,0,0,0,3,1,0
1a1c,0,229,0,0,0,12,107,19,0,0,74,0,0,0,6,50,10,0,0,52,0,0,0,2,28,5,0,0,5,0,0,0,0,3,1,0
1a1e,0,212,0,0,0,15,110,18,0,0,75,0,0,0,6,48,9,0,0,42,0,0,0,2,29,6,0,0,5,0,0,0,0,3,1,0
1a28,0,375,0,0,0,0,49,0,0,0,48,0,0,0,0,12,0,0,0,64,0,0,0,0,9,0,0,0,40,0,0,0,0,2,0,0
1a30,0,222,0,0,0,35,125,0,0,0,59,0,0,0,13,34,0,0,0,76,0,0,0,15,42,0,0,0,0,0,0,0,0,0,0,0
1a3e,0,364,0,0,0,29,62,0,0,0,79,0,0,0,5,16,0,0,0,72,0,0,0,9,20,0,0,0,6,0,0,0,0,2,0,0
1a42,0,153,0,0,0,41,102,0,56,0,36,0,0,0,13,18,0,13,0,27,0,0,0,10,12,0,7,0,0,0,0,0,0,0,0,0
1a4h,0,276,0,0,0,30,101,0,0,0,67,0,0,0,9,26,0,0,0,80,0,0,0,10,33,0,0,0,13,0,0,0,0,4,0,0
1a4k,0,302,0,0,0,38,53,0,0,0,91,0,0,0,14,26,0,0,0,66,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
1a4r,0,132,0,0,0,114,145,36,0,0,35,0,0,0,30,50,14,0,0,36,0,0,0,26,47,8,0,0,8,0,0,0,2,7,1,0
1a4w,0,346,0,0,0,104,36,0,14,0,75,0,0,0,34,14,0,5,0,84,0,0,0,41,12,0,3,0,6,0,0,0,3,2,0,0
1a50,0,257,0,28,0,24,105,25,0,0,17,0,0,0,1,36,10,0,0,44,0,3,0,5,30,9,0,0,0,0,0,0,0,0,0,0
1a52,0,340,0,0,0,0,48,0,0,0,37,0,0,0,0,11,0,0,0,40,0,0,0,0,8,0,0,0,14,0,0,0,0,2,0,0
1a5h,0,388,0,0,0,97,14,0,0,0,102,0,0,0,25,3,0,0,0,109,0,0,0,27,5,0,0,0,9,0,0,0,3,0,0,0
1a69,0,190,0,0,0,81,85,0,0,0,59,0,0,0,17,38,0,0,0,59,0,0,0,23,29,0,0,0,12,0,0,0,2,7,0,0
1a8i,0,148,0,0,0,33,125,0,0,0,47,0,0,0,10,41,0,0,0,52,0,0,0,11,53,0,0,0,0,0,0,0,0,0,0,0
1a8t,0,340,0,0,0,78,25,0,0,0,97,0,0,0,34,8,0,0,0,69,0,0,0,20,11,0,0,0,3,0,0,0,4,0,0,0
1a94,0,486,0,0,0,111,129,0,0,0,138,0,0,0,40,28,0,0,0,159,0,0,0,44,53,0,0,0,0,0,0,0,0,0,0,0
1a99,0,143,0,0,0,63,0,0,0,0,11,0,0,0,8,0,0,0,0,30,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
