PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,4661,0,0,0,681,1338,0,245,0,1265,0,0,0,184,358,0,67,0,1238,0,0,0,191,366,0,63,0,65,0,0,0,12,21,0,3
11gs,0,4981,428,0,0,696,2023,0,259,0,1339,116,0,0,188,534,0,67,0,1312,115,0,0,197,545,0,67,0,64,5,0,0,12,25,0,3
13gs,0,3260,0,0,0,673,981,0,160,0,879,0,0,0,183,263,0,39,0,845,0,0,0,174,257,0,40,0,30,0,0,0,7,11,0,1
16pk,0,3174,0,755,0,1280,2342,587,0,0,888,0,252,0,325,680,180,0,0,956,0,234,0,359,727,185,0,0,53,0,3,0,30,32,6,0
184l,0,2898,0,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0,787,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
185l,0,2322,0,0,0,315,0,0,0,0,607,0,0,0,89,0,0,0,0,627,0,0,0,87,0,0,0,0,29,0,0,0,4,0,0,0
186l,0,2881,0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
187l,0,2335,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
188l,0,2337,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
1a07,0,3088,0,0,0,354,596,0,0,0,911,0,0,0,106,178,0,0,0,864,0,0,0,100,174,0,0,0,48,0,0,0,6,10,0,0
1a08,0,3263,0,348,0,359,1067,163,0,0,929,0,92,0,103,308,46,0,0,905,0,98,0,102,307,46,0,0,47,0,2,0,6,13,1,0
1a0q,0,3884,0,0,0,228,1321,261,0,0,952,0,0,0,56,336,69,0,0,867,0,0,0,53,306,58,0,0,27,0,0,0,0,6,1,0
1a1b,0,3180,0,0,0,365,1259,162,0,0,925,0,0,0,107,365,46,0,0,904,0,0,0,105,369,48,0,0,45,0,0,0,6,14,1,0
1a1c,0,3332,0,0,0,348,1248,162,0,0,938,0,0,0,103,370,46,0,0,942,0,0,0,104,365,47,0,0,46,0,0,0,6,14,1,0
