PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,208,0,0,0,29,73,0,10,0,49,0,0,0,11,24,0,2,0,44,0,0,0,8,19,0,3,0,0,0,0,0,0,0,0,0
11gs,0,207,29,0,0,29,92,0,11,0,53,2,0,0,11,29,0,3,0,51,4,0,0,10,25,0,2,0,0,0,0,0,0,0,0,0
13gs,0,169,0,0,0,28,52,0,12,0,22,0,0,0,4,9,0,1,0,31,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0
16pk,0,135,0,9,0,84,85,18,0,0,44,0,6,0,19,40,8,0,0,35,0,4,0,17,28,3,0,0,0,0,0,0,0,0,0,0
184l,0,165,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
185l,0,143,0,0,0,16,0,0,0,0,11,0,0,0,1,0,0,0,0,11,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0
186l,0,183,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
187l,0,143,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
188l,0,134,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1a07,0,135,0,0,0,10,23,0,0,0,41,0,0,0,4,10,0,0,0,25,0,0,0,2,6,0,0,0,3,0,0,0,0,0,0,0
1a08,0,147,0,27,0,9,60,15,0,0,54,0,11,0,4,31,6,0,0,29,0,7,0,2,13,3,0,0,4,0,1,0,0,2,1,0
1a0q,0,201,0,0,0,9,48,13,0,0,43,0,0,0,4,26,6,0,0,22,0,0,0,1,13,2,0,0,0,0,0,0,0,0,0,0
1a1b,0,147,0,0,0,11,74,17,0,0,48,0,0,0,4,40,6,0,0,29,0,0,0,2,21,5,0,0,3,0,0,0,0,3,1,0
