PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,4161,0,0,0,610,1169,0,217,0,1135,0,0,0,171,321,0,60,0,1081,0,0,0,165,328,0,56,0,61,0,0,0,10,18,0,3
11gs,0,4431,387,0,0,628,1783,0,229,0,1207,105,0,0,176,484,0,62,0,1175,98,0,0,167,482,0,56,0,57,4,0,0,10,22,0,3
13gs,0,2947,0,0,0,624,867,0,147,0,781,0,0,0,166,232,0,35,0,777,0,0,0,154,241,0,37,0,24,0,0,0,3,9,0,1
16pk,0,2820,0,651,0,1137,2096,523,0,0,808,0,228,0,293,616,163,0,0,852,0,209,0,324,662,168,0,0,49,0,2,0,28,26,5,0
184l,0,2685,0,0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,724,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
185l,0,2170,0,0,0,288,0,0,0,0,565,0,0,0,78,0,0,0,0,587,0,0,0,80,0,0,0,0,27,0,0,0,4,0,0,0
186l,0,2673,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
187l,0,2175,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
188l,0,2173,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
1a07,0,2759,0,0,0,310,530,0,0,0,803,0,0,0,95,163,0,0,0,786,0,0,0,89,151,0,0,0,44,0,0,0,6,10,0,0
1a08,0,2911,0,314,0,312,974,151,0,0,836,0,89,0,95,288,43,0,0,815,0,92,0,91,280,44,0,0,45,0,2,0,6,13,1,0
1a0q,0,3470,0,0,0,199,1187,235,0,0,857,0,0,0,52,309,62,0,0,779,0,0,0,46,270,53,0,0,24,0,0,0,0,4,0,0
