PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,1086,0,0,0,140,264,0,64,0,235,0,0,0,38,71,0,11,0,245,0,0,0,41,72,0,13,0,3,0,0,0,1,4,0,1
11gs,0,1095,119,0,0,142,431,0,60,0,255,27,0,0,39,104,0,13,0,242,28,0,0,40,107,0,13,0,4,1,0,0,1,3,0,1
13gs,0,798,0,0,0,171,229,0,49,0,187,0,0,0,39,61,0,10,0,186,0,0,0,38,60,0,11,0,2,0,0,0,0,2,0,0
16pk,0,685,0,112,0,334,502,113,0,0,217,0,55,0,86,171,48,0,0,220,0,46,0,98,171,48,0,0,2,0,0,0,3,3,0,0
184l,0,853,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
185l,0,708,0,0,0,96,0,0,0,0,133,0,0,0,12,0,0,0,0,141,0,0,0,15,0,0,0,0,9,0,0,0,2,0,0,0
186l,0,883,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
187l,0,711,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
188l,0,702,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1a07,0,636,0,0,0,69,134,0,0,0,226,0,0,0,21,37,0,0,0,177,0,0,0,15,29,0,0,0,13,0,0,0,2,3,0,0
1a08,0,723,0,111,0,68,278,50,0,0,244,0,49,0,21,90,20,0,0,198,0,38,0,15,83,22,0,0,14,0,2,0,2,6,1,0
1a0q,0,938,0,0,0,39,303,63,0,0,243,0,0,0,10,76,15,0,0,190,0,0,0,10,57,11,0,0,0,0,0,0,0,0,0,0
1a1b,0,688,0,0,0,68,333,52,0,0,236,0,0,0,21,121,22,0,0,196,0,0,0,15,107,22,0,0,13,0,0,0,2,7,1,0
1a1c,0,751,0,0,0,65,322,52,0,0,249,0,0,0,23,121,21,0,0,215,0,0,0,15,102,22,0,0,13,0,0,0,2,7,1,0
1a1e,0,729,0,0,0,66,334,52,0,0,248,0,0,0,23,120,22,0,0,200,0,0,0,15,104,22,0,0,13,0,0,0,2,7,1,0
1a28,0,1563,0,0,0,0,147,0,0,0,295,0,0,0,0,29,0,0,0,275,0,0,0,0,33,0,0,0,93,0,0,0,0,6,0,0
1a30,0,776,0,0,0,151,414,0,0,0,201,0,0,0,37,110,0,0,0,251,0,0,0,45,140,0,0,0,0,0,0,0,0,0,0,0
1a3e,0,1195,0,0,0,160,320,0,0,0,314,0,0,0,41,86,0,0,0,287,0,0,0,38,77,0,0,0,20,0,0,0,2,2,0,0
1a42,0,603,0,0,0,178,301,0,193,0,159,0,0,0,51,78,0,54,0,119,0,0,0,36,67,0,49,0,3,0,0,0,0,2,0,0
1a4h,0,1162,0,0,0,125,388,0,0,0,300,0,0,0,32,110,0,0,0,384,0,0,0,38,127,0,0,0,21,0,0,0,1,5,0,0
1a4k,0,1124,0,0,0,156,246,0,0,0,356,0,0,0,55,78,0,0,0,291,0,0,0,40,57,0,0,0,0,0,0,0,0,0,0,0
1a4r,0,474,0,0,0,321,483,102,0,0,118,0,0,0,77,122,31,0,0,137,0,0,0,102,144,30,0,0,12,0,0,0,8,12,2,0
1a4w,0,1342,0,0,0,391,166,0,56,0,304,0,0,0,106,41,0,16,0,336,0,0,0,117,48,0,20,0,24,0,0,0,10,5,0,2
1a50,0,877,0,74,0,79,305,77,0,0,148,0,14,0,16,86,24,0,0,214,0,20,0,23,97,25,0,0,0,0,0,0,0,0,0,0
1a52,0,1294,0,0,0,0,136,0,0,0,239,0,0,0,0,31,0,0,0,243,0,0,0,0,32,0,0,0,47,0,0,0,0,4,0,0
1a5h,0,1193,0,0,0,279,54,0,0,0,326,0,0,0,66,15,0,0,0,368,0,0,0,79,14,0,0,0,35,0,0,0,6,2,0,0
1a69,0,608,0,0,0,249,307,0,0,0,224,0,0,0,79,116,0,0,0,187,0,0,0,72,87,0,0,0,28,0,0,0,13,16,0,0
1a8i,0,497,0,0,0,109,447,0,0,0,165,0,0,0,41,154,0,0,0,175,0,0,0,45,160,0,0,0,0,0,0,0,0,1,0,0
1a8t,0,1151,0,0,0,315,86,0,0,0,382,0,0,0,104,32,0,0,0,318,0,0,0,82,30,0,0,0,15,0,0,0,5,1,0,0
1a94,0,1830,0,0,0,442,440,0,0,0,517,0,0,0,123,120,0,0,0,617,0,0,0,136,148,0,0,0,0,0,0,0,0,0,0,0
1a99,0,371,0,0,0,172,0,0,0,0,71,0,0,0,37,0,0,0,0,103,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
1a9m,0,1532,0,0,0,360,339,0,0,0,443,0,0,0,105,90,0,0,0,447,0,0,0,96,102,0,0,0,0,0,0,0,0,0,0,0
1a9q,0,349,0,0,0,278,69,0,0,0,84,0,0,0,64,17,0,0,0,100,0,0,0,84,21,0,0,0,8,0,0,0,5,2,0,0
1aaq,0,1409,0,0,0,243,343,0,0,0,379,0,0,0,62,93,0,0,0,479,0,0,0,77,114,0,0,0,0,0,0,0,0,0,0,0
1abf,0,470,0,0,0,0,360,0,0,0,113,0,0,0,0,95,0,0,0,134,0,0,0,0,111,0,0,0,19,0,0,0,0,15,0,0
1add,0,800,0,0,0,305,284,0,0,0,201,0,0,0,72,70,0,0,0,213,0,0,0,82,73,0,0,0,23,0,0,0,7,11,0,0
1adl,0,1154,0,0,0,0,125,0,0,0,309,0,0,0,0,30,0,0,0,305,0,0,0,0,24,0,0,0,32,0,0,0,0,4,0,0
1ado,0,132,0,0,0,0,334,57,0,0,58,0,0,0,0,126,21,0,0,49,0,0,0,0,114,22,0,0,0,0,0,0,0,0,0,0
1af2,0,752,0,0,0,164,500,0,0,0,185,0,0,0,44,119,0,0,0,196,0,0,0,44,133,0,0,0,17,0,0,0,4,11,0,0
1afk,0,369,0,0,0,214,440,109,0,0,146,0,0,0,79,155,35,0,0,126,0,0,0,81,112,26,0,0,10,0,0,0,11,0,0,0
1afl,0,383,0,0,0,211,469,116,0,0,147,0,0,0,76,165,37,0,0,129,0,0,0,85,125,31,0,0,10,0,0,0,11,0,0,0
1ag9,0,1067,0,0,0,310,610,61,0,0,234,0,0,0,75,170,19,0,0,331,0,0,0,91,209,22,0,0,13,0,0,0,3,11,1,0
1agm,0,1283,0,0,0,74,813,0,0,0,265,0,0,0,15,182,0,0,0,324,0,0,0,16,229,0,0,0,0,0,0,0,0,1,0,0
1ahx,0,620,0,0,0,0,148,0,0,0,151,0,0,0,0,30,0,0,0,132,0,0,0,0,23,0,0,0,3,0,0,0,0,2,0,0
1ahy,0,288,0,0,0,0,289,0,0,0,68,0,0,0,0,75,0,0,0,51,0,0,0,0,53,0,0,0,3,0,0,0,0,2,0,0
