PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,1332,0,0,0,174,336,0,73,0,297,0,0,0,45,81,0,16,0,292,0,0,0,45,81,0,14,0,10,0,0,0,2,6,0,1
11gs,0,1322,146,0,0,179,521,0,72,0,330,28,0,0,45,128,0,17,0,300,31,0,0,47,132,0,14,0,12,1,0,0,4,6,0,1
13gs,0,975,0,0,0,201,290,0,58,0,239,0,0,0,51,77,0,14,0,236,0,0,0,46,76,0,12,0,3,0,0,0,0,4,0,0
16pk,0,839,0,142,0,397,599,142,0,0,264,0,63,0,100,208,56,0,0,264,0,62,0,107,213,55,0,0,4,0,0,0,5,4,0,0
184l,0,1028,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
185l,0,857,0,0,0,107,0,0,0,0,183,0,0,0,20,0,0,0,0,180,0,0,0,20,0,0,0,0,11,0,0,0,2,0,0,0
186l,0,1058,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
187l,0,842,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
188l,0,849,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
1a07,0,794,0,0,0,85,165,0,0,0,270,0,0,0,25,46,0,0,0,213,0,0,0,19,38,0,0,0,16,0,0,0,2,3,0,0
1a08,0,877,0,128,0,84,327,58,0,0,299,0,55,0,24,111,25,0,0,239,0,44,0,19,104,23,0,0,16,0,2,0,2,6,1,0
1a0q,0,1113,0,0,0,49,369,79,0,0,289,0,0,0,13,89,17,0,0,242,0,0,0,12,66,13,0,0,0,0,0,0,0,0,0,0
1a1b,0,845,0,0,0,87,394,60,0,0,282,0,0,0,25,138,25,0,0,235,0,0,0,21,134,24,0,0,16,0,0,0,2,7,1,0
1a1c,0,919,0,0,0,76,389,59,0,0,301,0,0,0,23,143,24,0,0,257,0,0,0,19,129,23,0,0,16,0,0,0,2,7,1,0
