PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,124,0,0,0,16,52,0,4,0,34,0,0,0,8,21,0,0,0,34,0,0,0,6,15,0,2,0,0,0,0,0,0,0,0,0
11gs,0,128,17,0,0,18,66,0,8,0,33,2,0,0,8,22,0,0,0,37,3,0,0,6,21,0,2,0,0,0,0,0,0,0,0,0
13gs,0,123,0,0,0,18,34,0,6,0,10,0,0,0,2,8,0,1,0,18,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0
16pk,0,88,0,5,0,50,55,10,0,0,26,0,5,0,13,24,6,0,0,23,0,2,0,13,17,0,0,0,0,0,0,0,0,0,0,0
184l,0,110,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
185l,0,96,0,0,0,12,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
186l,0,119,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
187l,0,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
188l,0,84,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1a07,0,89,0,0,0,3,16,0,0,0,26,0,0,0,4,6,0,0,0,21,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0
1a08,0,94,0,22,0,3,41,9,0,0,28,0,8,0,2,20,6,0,0,21,0,4,0,2,11,2,0,0,4,0,1,0,0,1,0,0
1a0q,0,125,0,0,0,6,34,9,0,0,28,0,0,0,3,18,6,0,0,16,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0
1a1b,0,92,0,0,0,4,51,12,0,0,27,0,0,0,4,25,6,0,0,23,0,0,0,2,15,3,0,0,3,0,0,0,0,2,0,0
1a1c,0,92,0,0,0,3,49,10,0,0,30,0,0,0,3,27,6,0,0,23,0,0,0,2,17,3,0,0,3,0,0,0,0,2,0,0
1a1e,0,97,0,0,0,3,52,11,0,0,29,0,0,0,3,24,6,0,0,25,0,0,0,2,15,3,0,0,3,0,0,0,0,2,0,0
