PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,1896,0,0,0,258,481,0,91,0,445,0,0,0,60,123,0,25,0,417,0,0,0,61,121,0,21,0,23,0,0,0,5,11,0,1
11gs,0,1910,195,0,0,260,766,0,91,0,483,51,0,0,62,188,0,26,0,472,40,0,0,62,191,0,23,0,28,2,0,0,5,12,0,1
13gs,0,1395,0,0,0,297,401,0,84,0,354,0,0,0,77,102,0,17,0,340,0,0,0,74,104,0,20,0,5,0,0,0,0,4,0,0
16pk,0,1203,0,221,0,546,869,210,0,0,362,0,100,0,144,297,76,0,0,386,0,90,0,153,309,77,0,0,14,0,0,0,12,7,2,0
184l,0,1415,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
185l,0,1178,0,0,0,144,0,0,0,0,267,0,0,0,30,0,0,0,0,284,0,0,0,29,0,0,0,0,14,0,0,0,2,0,0,0
186l,0,1431,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
187l,0,1181,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
188l,0,1154,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
1a07,0,1184,0,0,0,125,214,0,0,0,380,0,0,0,38,76,0,0,0,314,0,0,0,28,58,0,0,0,23,0,0,0,3,6,0,0
1a08,0,1268,0,165,0,129,444,72,0,0,402,0,63,0,39,156,30,0,0,348,0,56,0,30,134,27,0,0,22,0,2,0,3,8,1,0
1a0q,0,1565,0,0,0,90,512,107,0,0,416,0,0,0,21,132,28,0,0,342,0,0,0,17,110,20,0,0,0,0,0,0,0,0,0,0
1a1b,0,1233,0,0,0,129,534,76,0,0,388,0,0,0,38,194,31,0,0,346,0,0,0,32,167,29,0,0,21,0,0,0,3,10,1,0
1a1c,0,1319,0,0,0,120,525,76,0,0,413,0,0,0,38,191,31,0,0,379,0,0,0,31,163,27,0,0,25,0,0,0,3,10,1,0
1a1e,0,1290,0,0,0,122,524,72,0,0,401,0,0,0,40,195,31,0,0,357,0,0,0,30,166,26,0,0,22,0,0,0,3,9,1,0
1a28,0,2750,0,0,0,0,255,0,0,0,555,0,0,0,0,57,0,0,0,549,0,0,0,0,56,0,0,0,114,0,0,0,0,7,0,0
