PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,5181,0,0,0,762,1498,0,276,0,1392,0,0,0,214,399,0,72,0,1403,0,0,0,216,414,0,71,0,66,0,0,0,13,24,0,3
11gs,0,5569,462,0,0,786,2232,0,285,0,1492,126,0,0,219,590,0,76,0,1475,128,0,0,226,605,0,74,0,72,5,0,0,13,30,0,3
13gs,0,3599,0,0,0,744,1102,0,174,0,954,0,0,0,193,288,0,45,0,941,0,0,0,194,288,0,41,0,39,0,0,0,8,12,0,2
16pk,0,3573,0,847,0,1406,2641,662,0,0,976,0,275,0,352,748,193,0,0,1050,0,267,0,387,815,212,0,0,55,0,4,0,30,34,7,0
184l,0,3102,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0,0,847,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
185l,0,2492,0,0,0,342,0,0,0,0,658,0,0,0,94,0,0,0,0,667,0,0,0,92,0,0,0,0,29,0,0,0,4,0,0,0
186l,0,3097,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
187l,0,2509,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
188l,0,2508,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
1a07,0,3452,0,0,0,393,665,0,0,0,998,0,0,0,115,203,0,0,0,974,0,0,0,112,195,0,0,0,49,0,0,0,6,10,0,0
1a08,0,3653,0,386,0,398,1167,172,0,0,1022,0,98,0,118,336,49,0,0,1027,0,100,0,109,333,49,0,0,48,0,2,0,6,13,1,0
1a0q,0,4255,0,0,0,252,1469,295,0,0,1044,0,0,0,63,371,75,0,0,964,0,0,0,60,336,64,0,0,31,0,0,0,0,7,2,0
1a1b,0,3550,0,0,0,411,1367,167,0,0,1014,0,0,0,122,395,47,0,0,1004,0,0,0,117,404,50,0,0,47,0,0,0,6,14,1,0
1a1c,0,3687,0,0,0,403,1357,170,0,0,1040,0,0,0,118,392,48,0,0,1042,0,0,0,116,401,49,0,0,47,0,0,0,6,14,1,0
1a1e,0,3612,0,0,0,408,1367,171,0,0,1026,0,0,0,120,402,48,0,0,1014,0,0,0,115,392,49,0,0,47,0,0,0,6,14,1,0
1a28,0,7513,0,0,0,0,679,0,0,0,1751,0,0,0,0,154,0,0,0,1858,0,0,0,0,151,0,0,0,148,0,0,0,0,14,0,0
1a30,0,3838,0,0,0,740,2067,0,0,0,1013,0,0,0,204,550,0,0,0,1138,0,0,0,223,599,0,0,0,8,0,0,0,2,6,0,0
1a3e,0,6692,0,0,0,1091,2014,0,0,0,1897,0,0,0,316,588,0,0,0,1791,0,0,0,298,552,0,0,0,78,0,0,0,14,24,0,0
1a42,0,3381,0,0,0,977,1574,0,1057,0,901,0,0,0,247,412,0,266,0,833,0,0,0,225,386,0,252,0,19,0,0,0,5,5,0,4
1a4h,0,7158,0,0,0,582,2252,0,0,0,1762,0,0,0,144,549,0,0,0,2088,0,0,0,157,644,0,0,0,38,0,0,0,3,13,0,0
1a4k,0,4958,0,0,0,671,1339,0,0,0,1352,0,0,0,185,386,0,0,0,1279,0,0,0,184,366,0,0,0,34,0,0,0,3,5,0,0
1a4r,0,2112,0,0,0,1321,2188,464,0,0,528,0,0,0,333,529,110,0,0,679,0,0,0,403,664,139,0,0,30,0,0,0,16,28,6,0
1a4w,0,6569,0,0,0,1771,855,0,372,0,1751,0,0,0,469,227,0,105,0,2003,0,0,0,547,268,0,116,0,140,0,0,0,37,18,0,9
1a50,0,4016,0,357,0,360,1209,304,0,0,990,0,85,0,92,299,71,0,0,1078,0,98,0,102,342,88,0,0,16,0,3,0,2,4,1,0
1a52,0,5869,0,0,0,0,611,0,0,0,1419,0,0,0,0,133,0,0,0,1529,0,0,0,0,144,0,0,0,157,0,0,0,0,16,0,0
1a5h,0,5637,0,0,0,990,262,0,0,0,1549,0,0,0,272,73,0,0,0,1764,0,0,0,311,82,0,0,0,140,0,0,0,21,7,0,0
