PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,3714,0,0,0,535,1046,0,195,0,1009,0,0,0,153,285,0,50,0,935,0,0,0,147,272,0,49,0,50,0,0,0,10,17,0,3
11gs,0,3933,355,0,0,541,1601,0,202,0,1082,96,0,0,160,424,0,55,0,1042,84,0,0,148,413,0,49,0,53,3,0,0,10,21,0,3
13gs,0,2631,0,0,0,562,753,0,128,0,712,0,0,0,147,197,0,31,0,696,0,0,0,141,212,0,34,0,19,0,0,0,3,8,0,0
16pk,0,2488,0,554,0,1009,1840,459,0,0,715,0,198,0,265,561,143,0,0,773,0,186,0,300,578,148,0,0,46,0,2,0,27,21,5,0
184l,0,2494,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
185l,0,2019,0,0,0,262,0,0,0,0,515,0,0,0,65,0,0,0,0,539,0,0,0,76,0,0,0,0,24,0,0,0,4,0,0,0
186l,0,2472,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,665,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
187l,0,2016,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
188l,0,2004,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
1a07,0,2454,0,0,0,269,463,0,0,0,725,0,0,0,87,143,0,0,0,685,0,0,0,76,129,0,0,0,40,0,0,0,6,10,0,0
1a08,0,2586,0,286,0,264,870,137,0,0,757,0,84,0,85,263,41,0,0,718,0,85,0,77,248,42,0,0,41,0,2,0,6,13,1,0
1a0q,0,3094,0,0,0,179,1044,206,0,0,782,0,0,0,49,273,56,0,0,700,0,0,0,41,243,50,0,0,19,0,0,0,0,1,0,0
1a1b,0,2524,0,0,0,278,1031,138,0,0,737,0,0,0,88,316,42,0,0,716,0,0,0,84,301,43,0,0,41,0,0,0,6,14,1,0
1a1c,0,2644,0,0,0,271,1019,136,0,0,763,0,0,0,87,312,43,0,0,753,0,0,0,78,302,42,0,0,40,0,0,0,5,14,1,0
1a1e,0,2573,0,0,0,275,1018,137,0,0,752,0,0,0,89,311,42,0,0,730,0,0,0,77,287,41,0,0,40,0,0,0,5,14,1,0
1a28,0,5523,0,0,0,0,503,0,0,0,1239,0,0,0,0,110,0,0,0,1240,0,0,0,0,113,0,0,0,134,0,0,0,0,12,0,0
1a30,0,2861,0,0,0,537,1558,0,0,0,781,0,0,0,150,417,0,0,0,836,0,0,0,159,451,0,0,0,4,0,0,0,2,1,0,0
1a3e,0,4723,0,0,0,736,1415,0,0,0,1318,0,0,0,206,401,0,0,0,1265,0,0,0,198,374,0,0,0,56,0,0,0,10,19,0,0
1a42,0,2366,0,0,0,675,1113,0,728,0,625,0,0,0,178,294,0,207,0,570,0,0,0,163,281,0,186,0,13,0,0,0,4,5,0,3
1a4h,0,4962,0,0,0,416,1553,0,0,0,1249,0,0,0,92,391,0,0,0,1527,0,0,0,115,463,0,0,0,36,0,0,0,2,10,0,0
1a4k,0,3641,0,0,0,484,965,0,0,0,1049,0,0,0,145,291,0,0,0,992,0,0,0,136,263,0,0,0,15,0,0,0,2,4,0,0
1a4r,0,1549,0,0,0,986,1609,343,0,0,394,0,0,0,247,399,82,0,0,494,0,0,0,308,485,104,0,0,21,0,0,0,14,24,5,0
