PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,2535,0,0,0,337,674,0,119,0,636,0,0,0,91,184,0,33,0,604,0,0,0,83,166,0,32,0,35,0,0,0,7,14,0,2
11gs,0,2667,266,0,0,344,1048,0,125,0,697,67,0,0,90,281,0,35,0,682,54,0,0,87,265,0,35,0,40,2,0,0,9,16,0,3
13gs,0,1872,0,0,0,407,536,0,100,0,492,0,0,0,104,141,0,22,0,482,0,0,0,97,154,0,25,0,13,0,0,0,1,5,0,0
16pk,0,1637,0,340,0,714,1215,303,0,0,482,0,128,0,187,393,106,0,0,532,0,123,0,207,401,108,0,0,27,0,1,0,18,13,2,0
184l,0,1844,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
185l,0,1512,0,0,0,195,0,0,0,0,366,0,0,0,47,0,0,0,0,388,0,0,0,51,0,0,0,0,16,0,0,0,2,0,0,0
186l,0,1847,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
187l,0,1491,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
188l,0,1501,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1a07,0,1633,0,0,0,164,295,0,0,0,499,0,0,0,56,99,0,0,0,440,0,0,0,44,83,0,0,0,27,0,0,0,4,7,0,0
1a08,0,1731,0,211,0,171,568,101,0,0,529,0,70,0,56,198,36,0,0,479,0,65,0,41,184,32,0,0,28,0,2,0,4,10,1,0
1a0q,0,2146,0,0,0,120,707,149,0,0,571,0,0,0,36,186,41,0,0,473,0,0,0,25,161,34,0,0,3,0,0,0,0,0,0,0
1a1b,0,1696,0,0,0,176,709,106,0,0,514,0,0,0,63,241,36,0,0,472,0,0,0,43,226,34,0,0,27,0,0,0,4,11,1,0
1a1c,0,1801,0,0,0,175,689,103,0,0,538,0,0,0,60,237,36,0,0,503,0,0,0,44,221,35,0,0,28,0,0,0,4,11,1,0
1a1e,0,1756,0,0,0,175,701,103,0,0,527,0,0,0,61,242,36,0,0,493,0,0,0,45,218,32,0,0,29,0,0,0,4,12,1,0
1a28,0,3774,0,0,0,0,344,0,0,0,797,0,0,0,0,74,0,0,0,792,0,0,0,0,78,0,0,0,123,0,0,0,0,10,0,0
1a30,0,1967,0,0,0,369,1048,0,0,0,539,0,0,0,104,283,0,0,0,587,0,0,0,107,318,0,0,0,0,0,0,0,0,1,0,0
1a3e,0,3126,0,0,0,452,886,0,0,0,861,0,0,0,119,236,0,0,0,812,0,0,0,115,217,0,0,0,40,0,0,0,6,12,0,0
1a42,0,1579,0,0,0,464,758,0,509,0,397,0,0,0,119,209,0,140,0,355,0,0,0,108,180,0,129,0,11,0,0,0,1,4,0,3
1a4h,0,3165,0,0,0,267,997,0,0,0,829,0,0,0,69,261,0,0,0,989,0,0,0,81,324,0,0,0,30,0,0,0,2,10,0,0
1a4k,0,2537,0,0,0,355,631,0,0,0,755,0,0,0,102,192,0,0,0,723,0,0,0,101,178,0,0,0,7,0,0,0,2,2,0,0
1a4r,0,1083,0,0,0,690,1134,241,0,0,273,0,0,0,176,280,62,0,0,320,0,0,0,219,326,65,0,0,16,0,0,0,13,17,4,0
1a4w,0,3175,0,0,0,894,403,0,162,0,835,0,0,0,233,101,0,43,0,932,0,0,0,274,117,0,45,0,71,0,0,0,18,13,0,6
1a50,0,1974,0,187,0,179,661,170,0,0,491,0,43,0,48,173,41,0,0,546,0,47,0,50,191,51,0,0,3,0,0,0,1,1,0,0
1a52,0,3079,0,0,0,0,329,0,0,0,667,0,0,0,0,75,0,0,0,679,0,0,0,0,75,0,0,0,106,0,0,0,0,8,0,0
1a5h,0,2693,0,0,0,550,113,0,0,0,732,0,0,0,145,31,0,0,0,834,0,0,0,167,35,0,0,0,69,0,0,0,10,5,0,0
1a69,0,1551,0,0,0,606,786,0,0,0,482,0,0,0,187,248,0,0,0,449,0,0,0,171,232,0,0,0,50,0,0,0,19,26,0,0
1a8i,0,1189,0,0,0,294,1015,0,0,0,376,0,0,0,97,339,0,0,0,397,0,0,0,94,353,0,0,0,6,0,0,0,0,8,0,0
1a8t,0,2588,0,0,0,759,199,0,0,0,823,0,0,0,233,59,0,0,0,780,0,0,0,216,63,0,0,0,28,0,0,0,10,1,0,0
1a94,0,4608,0,0,0,1149,1061,0,0,0,1297,0,0,0,322,291,0,0,0,1372,0,0,0,323,316,0,0,0,2,0,0,0,1,2,0,0
1a99,0,740,0,0,0,367,0,0,0,0,172,0,0,0,84,0,0,0,0,228,0,0,0,103,0,0,0,0,5,0,0,0,3,0,0,0
1a9m,0,3683,0,0,0,882,806,0,0,0,1081,0,0,0,262,238,0,0,0,1054,0,0,0,244,227,0,0,0,1,0,0,0,2,1,0,0
1a9q,0,829,0,0,0,671,163,0,0,0,222,0,0,0,170,43,0,0,0,238,0,0,0,184,44,0,0,0,12,0,0,0,9,3,0,0
1aaq,0,3580,0,0,0,639,845,0,0,0,990,0,0,0,172,230,0,0,0,1050,0,0,0,182,248,0,0,0,2,0,0,0,0,2,0,0
1abf,0,1035,0,0,0,0,828,0,0,0,299,0,0,0,0,237,0,0,0,309,0,0,0,0,259,0,0,0,23,0,0,0,0,18,0,0
1add,0,1906,0,0,0,698,698,0,0,0,514,0,0,0,201,167,0,0,0,505,0,0,0,201,161,0,0,0,42,0,0,0,16,13,0,0
1adl,0,2756,0,0,0,0,307,0,0,0,755,0,0,0,0,93,0,0,0,832,0,0,0,0,89,0,0,0,50,0,0,0,0,6,0,0
1ado,0,337,0,0,0,0,822,145,0,0,114,0,0,0,0,254,45,0,0,110,0,0,0,0,250,43,0,0,1,0,0,0,0,2,1,0
1af2,0,1598,0,0,0,355,1072,0,0,0,437,0,0,0,96,282,0,0,0,467,0,0,0,103,301,0,0,0,28,0,0,0,6,20,0,0
1afk,0,845,0,0,0,448,1064,253,0,0,276,0,0,0,138,364,89,0,0,265,0,0,0,141,300,76,0,0,27,0,0,0,16,10,1,0
1afl,0,854,0,0,0,455,1113,262,0,0,275,0,0,0,140,373,86,0,0,277,0,0,0,144,310,74,0,0,28,0,0,0,17,17,4,0
1ag9,0,2210,0,0,0,609,1252,124,0,0,537,0,0,0,140,318,34,0,0,696,0,0,0,193,416,44,0,0,29,0,0,0,8,21,3,0
1agm,0,3030,0,0,0,165,1927,0,0,0,691,0,0,0,31,447,0,0,0,777,0,0,0,35,521,0,0,0,5,0,0,0,1,3,0,0
1ahx,0,1429,0,0,0,0,313,0,0,0,399,0,0,0,0,85,0,0,0,358,0,0,0,0,80,0,0,0,6,0,0,0,0,2,0,0
1ahy,0,635,0,0,0,0,631,0,0,0,190,0,0,0,0,182,0,0,0,164,0,0,0,0,160,0,0,0,4,0,0,0,0,4,0,0
1ai4,0,1331,0,0,0,0,647,0,0,0,303,0,0,0,0,161,0,0,0,357,0,0,0,0,197,0,0,0,10,0,0,0,0,6,0,0
1ai5,0,1318,0,0,0,181,653,0,0,0,301,0,0,0,42,161,0,0,0,358,0,0,0,56,197,0,0,0,8,0,0,0,2,6,0,0
1ai6,0,1407,0,0,0,0,515,0,0,0,348,0,0,0,0,132,0,0,0,386,0,0,0,0,145,0,0,0,11,0,0,0,0,4,0,0
1ai7,0,1095,0,0,0,0,195,0,0,0,262,0,0,0,0,42,0,0,0,304,0,0,0,0,55,0,0,0,9,0,0,0,0,2,0,0
1aid,0,2527,124,106,0,103,113,0,223,0,697,29,27,0,28,32,0,64,0,756,31,30,0,24,34,0,65,0,5,1,1,0,0,0,0,1
1aj6,0,2301,0,0,0,186,953,0,0,0,738,0,0,0,55,285,0,0,0,701,0,0,0,53,291,0,0,0,14,0,0,0,3,9,0,0
1aj7,0,1668,0,0,0,200,1049,155,0,0,429,0,0,0,50,265,39,0,0,403,0,0,0,48,236,37,0,0,5,0,0,0,2,4,0,0
1ajn,0,1326,0,0,0,185,662,0,0,0,307,0,0,0,39,156,0,0,0,363,0,0,0,54,192,0,0,0,10,0,0,0,2,6,0,0
1ajp,0,1332,0,0,0,0,628,0,0,0,320,0,0,0,0,154,0,0,0,364,0,0,0,0,186,0,0,0,10,0,0,0,0,5,0,0
1ajq,0,1061,0,0,0,0,310,0,173,0,266,0,0,0,0,89,0,40,0,292,0,0,0,0,92,0,46,0,9,0,0,0,0,3,0,1
1ajv,0,4464,0,0,0,315,907,0,159,0,1254,0,0,0,87,243,0,42,0,1328,0,0,0,99,261,0,47,0,0,0,0,0,0,0,0,0
1ajx,0,4518,0,0,0,301,719,0,0,0,1247,0,0,0,80,194,0,0,0,1340,0,0,0,97,207,0,0,0,0,0,0,0,0,0,0,0
1akq,0,1629,0,0,0,459,1075,122,0,0,455,0,0,0,117,301,36,0,0,566,0,0,0,153,369,38,0,0,28,0,0,0,8,23,3,0
1akr,0,1546,0,0,0,421,1044,120,0,0,424,0,0,0,108,297,37,0,0,539,0,0,0,143,370,39,0,0,28,0,0,0,9,23,3,0
1akt,0,1597,0,0,0,430,1066,126,0,0,450,0,0,0,113,302,37,0,0,576,0,0,0,152,374,40,0,0,29,0,0,0,9,25,3,0
1aku,0,1664,0,0,0,467,1062,124,0,0,453,0,0,0,120,301,35,0,0,575,0,0,0,163,366,38,0,0,30,0,0,0,9,24,3,0
1akv,0,1693,0,0,0,470,1092,125,0,0,474,0,0,0,127,311,37,0,0,590,0,0,0,163,380,42,0,0,30,0,0,0,10,23,3,0
1akw,0,1577,0,0,0,431,1040,118,0,0,417,0,0,0,107,295,34,0,0,542,0,0,0,144,358,38,0,0,28,0,0,0,8,23,3,0
1al7,0,1974,0,0,0,437,291,0,150,0,517,0,0,0,120,82,0,31,0,541,0,0,0,127,83,0,40,0,25,0,0,0,3,3,0,2
1al8,0,1749,0,0,0,130,381,0,0,0,413,0,0,0,36,110,0,0,0,433,0,0,0,41,108,0,0,0,31,0,0,0,1,3,0,0
1alw,0,1167,0,0,0,0,210,0,73,0,287,0,0,0,0,56,0,22,0,223,0,0,0,0,40,0,17,0,2,0,0,0,0,0,0,0
1amk,0,322,0,0,0,0,894,138,0,0,93,0,0,0,0,250,41,0,0,102,0,0,0,0,279,43,0,0,2,0,0,0,0,4,1,0
1amw,0,1373,0,0,0,759,1118,227,0,0,349,0,0,0,195,272,59,0,0,421,0,0,0,238,343,68,0,0,11,0,0,0,5,10,2,0
