PDB,C-Br,C-C,C-Cl,C-F,C-I,C-N,C-O,C-P,C-S,N-Br,N-C,N-Cl,N-F,N-I,N-N,N-O,N-P,N-S,O-Br,O-C,O-Cl,O-F,O-I,O-N,O-O,O-P,O-S,S-Br,S-C,S-Cl,S-F,S-I,S-N,S-O,S-P,S-S
10gs,0,1586,0,0,0,222,393,0,77,0,368,0,0,0,50,101,0,22,0,344,0,0,0,51,100,0,19,0,16,0,0,0,5,7,0,1
11gs,0,1594,170,0,0,225,628,0,80,0,407,41,0,0,50,155,0,24,0,373,36,0,0,51,156,0,17,0,19,1,0,0,5,7,0,1
13gs,0,1191,0,0,0,256,344,0,73,0,286,0,0,0,60,89,0,16,0,287,0,0,0,57,89,0,16,0,4,0,0,0,0,4,0,0
16pk,0,1017,0,182,0,477,729,174,0,0,312,0,82,0,116,249,63,0,0,326,0,73,0,126,256,65,0,0,10,0,0,0,7,4,1,0
184l,0,1218,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
185l,0,1014,0,0,0,128,0,0,0,0,222,0,0,0,24,0,0,0,0,222,0,0,0,23,0,0,0,0,12,0,0,0,2,0,0,0
186l,0,1232,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
187l,0,1020,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
188l,0,998,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
1a07,0,977,0,0,0,103,181,0,0,0,321,0,0,0,33,58,0,0,0,264,0,0,0,22,50,0,0,0,19,0,0,0,2,5,0,0
1a08,0,1068,0,146,0,103,377,65,0,0,353,0,58,0,31,132,28,0,0,294,0,49,0,24,119,24,0,0,21,0,2,0,3,8,1,0
1a0q,0,1332,0,0,0,64,434,94,0,0,347,0,0,0,18,111,21,0,0,283,0,0,0,14,92,18,0,0,0,0,0,0,0,0,0,0
1a1b,0,1035,0,0,0,107,458,65,0,0,333,0,0,0,32,171,28,0,0,290,0,0,0,24,149,24,0,0,19,0,0,0,2,9,1,0
1a1c,0,1107,0,0,0,96,458,67,0,0,347,0,0,0,28,168,27,0,0,319,0,0,0,24,150,24,0,0,21,0,0,0,2,9,1,0
